datetime,open,high,low,close,volume
2022-03-07 12:00:00,1.3112,1.3131,1.31094,1.31228,11986
2022-03-07 13:00:00,1.31228,1.31264,1.31026,1.31048,8752
2022-03-07 14:00:00,1.3105,1.31169,1.31038,1.31081,8002
2022-03-07 15:00:00,1.31081,1.31118,1.31022,1.31037,2884
2022-03-07 16:00:00,1.31058,1.31087,1.31053,1.31068,411
2022-03-07 17:00:00,1.31074,1.3114,1.31049,1.31138,3345
2022-03-07 18:00:00,1.31138,1.3116,1.31015,1.31074,4392
2022-03-07 19:00:00,1.31074,1.31288,1.3105,1.3123,7931
2022-03-07 20:00:00,1.31229,1.3131,1.31183,1.31206,5670
2022-03-07 21:00:00,1.31206,1.31274,1.31178,1.31249,4104
2022-03-07 22:00:00,1.3125,1.3129,1.31228,1.31238,2748
2022-03-07 23:00:00,1.31239,1.31242,1.31069,1.31116,5836
2022-03-08 00:00:00,1.31116,1.31182,1.31014,1.31032,8683
2022-03-08 01:00:00,1.31032,1.31146,1.3082,1.30916,14530
2022-03-08 02:00:00,1.30918,1.31317,1.30875,1.3114,26139
2022-03-08 03:00:00,1.3114,1.31282,1.3097,1.31207,16184
2022-03-08 04:00:00,1.31206,1.31338,1.31125,1.31214,12020
2022-03-08 05:00:00,1.31214,1.31269,1.31004,1.31182,9556
2022-03-08 06:00:00,1.3118,1.3132,1.31006,1.31006,12143
2022-03-08 07:00:00,1.31006,1.31148,1.30856,1.31074,15497
2022-03-08 08:00:00,1.3107,1.31297,1.31022,1.31255,19034
2022-03-08 09:00:00,1.31256,1.31448,1.31095,1.31116,25003
2022-03-08 10:00:00,1.31116,1.31148,1.30898,1.30998,17156
2022-03-08 11:00:00,1.30999,1.31389,1.30974,1.31338,27356
2022-03-08 12:00:00,1.31337,1.31442,1.31054,1.31117,20659
2022-03-08 13:00:00,1.31114,1.31136,1.30986,1.31078,14515
2022-03-08 14:00:00,1.31077,1.31143,1.30954,1.30994,11016
2022-03-08 15:00:00,1.3099,1.31034,1.30928,1.31013,2109
2022-03-08 16:00:00,1.31023,1.31027,1.3096,1.30993,91
2022-03-08 17:00:00,1.30979,1.31063,1.30886,1.3099,2601
2022-03-08 18:00:00,1.30987,1.31116,1.30985,1.31112,4431
2022-03-08 19:00:00,1.31112,1.31168,1.31067,1.31127,6622
2022-03-08 20:00:00,1.31127,1.3118,1.31082,1.31146,4801
2022-03-08 21:00:00,1.31147,1.31162,1.3106,1.31077,4224
2022-03-08 22:00:00,1.31076,1.31225,1.31076,1.31194,4229
2022-03-08 23:00:00,1.31195,1.31278,1.31115,1.3113,5107
2022-03-09 00:00:00,1.31128,1.31247,1.31117,1.31176,5910
2022-03-09 01:00:00,1.31178,1.31238,1.31093,1.31113,9871
2022-03-09 02:00:00,1.31112,1.31438,1.3105,1.31376,12548
2022-03-09 03:00:00,1.31377,1.31544,1.3122,1.31507,11693
2022-03-09 04:00:00,1.31508,1.31809,1.31499,1.31615,10504
2022-03-09 05:00:00,1.31614,1.31699,1.31454,1.31512,11367
2022-03-09 06:00:00,1.31512,1.31611,1.31452,1.31507,9981
2022-03-09 07:00:00,1.31508,1.31656,1.31372,1.31614,11561
2022-03-09 08:00:00,1.31614,1.3184,1.31474,1.31658,24158
2022-03-09 09:00:00,1.31658,1.31766,1.31556,1.31579,17528
2022-03-09 10:00:00,1.31579,1.31806,1.31534,1.31602,15779
2022-03-09 11:00:00,1.31602,1.31837,1.31562,1.31824,13014
2022-03-09 12:00:00,1.31824,1.31878,1.31624,1.31644,9369
2022-03-09 13:00:00,1.31646,1.3183,1.316,1.31814,7968
2022-03-09 14:00:00,1.31816,1.319,1.31784,1.31858,7532
2022-03-09 15:00:00,1.31861,1.31869,1.31797,1.31869,2737
2022-03-09 16:00:00,1.31828,1.31836,1.318,1.31831,30
2022-03-09 17:00:00,1.31845,1.3187,1.31728,1.31848,1979
2022-03-09 18:00:00,1.31848,1.31878,1.31656,1.31702,3965
2022-03-09 19:00:00,1.31703,1.31738,1.31436,1.31588,7306
2022-03-09 20:00:00,1.31589,1.31654,1.3151,1.31599,4770
2022-03-09 21:00:00,1.316,1.31674,1.31548,1.31672,4643
2022-03-09 22:00:00,1.31672,1.3175,1.31648,1.31716,4065
2022-03-09 23:00:00,1.31717,1.31768,1.31674,1.31762,3731
2022-03-10 00:00:00,1.31762,1.31846,1.31746,1.3182,4946
2022-03-10 01:00:00,1.31818,1.31944,1.31765,1.31942,10003
2022-03-10 02:00:00,1.31942,1.31947,1.31466,1.31586,16454
2022-03-10 03:00:00,1.31586,1.31864,1.31586,1.31686,21032
2022-03-10 04:00:00,1.31688,1.3173,1.31414,1.31599,16251
2022-03-10 05:00:00,1.31596,1.31696,1.31553,1.31591,11148
2022-03-10 06:00:00,1.31591,1.31942,1.31485,1.31766,18459
2022-03-10 07:00:00,1.31764,1.31834,1.3161,1.31774,22341
2022-03-10 08:00:00,1.31775,1.31789,1.31244,1.31328,21783
2022-03-10 09:00:00,1.31324,1.31422,1.31188,1.31298,17615
2022-03-10 10:00:00,1.31298,1.31324,1.31059,1.31076,9846
2022-03-10 11:00:00,1.31075,1.31165,1.30919,1.30979,7011
2022-03-10 12:00:00,1.30982,1.3113,1.30956,1.31061,6448
2022-03-10 13:00:00,1.3106,1.31153,1.30973,1.30976,5155
